version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.125 172.31.46.126 51787 33390 6 1 40 1615904119 1615904129 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.149 172.31.35.177 62126 12545 6 1 44 1615904107 1615904123 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.150 172.31.35.177 49791 12292 6 1 44 1615904107 1615904123 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 74.120.14.31 172.31.36.70 55584 8888 6 1 44 1615904118 1615904130 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.148 172.31.36.70 48573 22609 6 1 44 1615904118 1615904130 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 45.79.176.22 172.31.36.70 61000 110 6 1 40 1615904118 1615904130 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 89.40.70.51 172.31.36.70 47618 389 17 1 67 1615904118 1615904130 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.155 172.31.36.70 62223 9187 6 1 44 1615904118 1615904130 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.158 172.31.46.126 53408 9001 6 1 44 1615904138 1615904143 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.58 172.31.46.126 42305 59613 6 1 40 1615904138 1615904143 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.155 172.31.35.177 20315 12148 6 1 44 1615904122 1615904139 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.119 172.31.88.246 44043 59601 6 1 40 1615904118 1615904135 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 193.27.229.97 172.31.88.246 49705 829 6 1 40 1615904118 1615904135 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.159 172.31.88.246 58904 12367 6 1 44 1615904118 1615904135 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904124 1615904137 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904119 1615904133 - NODATA
